Unnamed: 0,exp,job_id,ts,cabinet,node,device,uuid,warmup,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf_s,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
10,bert,36800,1652917488,c004,12,3,c004-12-3,FALSE,38.485365,143.607236,2,8.973189,86.72836826,0.306536465,0.242760265,242.760265,0.235291298,6.827357241,1489.989733,1530,1312,1530,877,877,877,877,57.73480947,59,45,67,162.6907631,184.892,68.009,275.788
15,bert,36799,1652917488,c004,12,2,c004-12-2,FALSE,38.476241,143.60757,2,8.976431,86.72836826,0.306657774,0.243340164,243.340164,0.235539123,6.826862226,1491.138573,1530,1312,1530,877,877,877,877,52.8556594,53,43,59,156.9022456,159.2795,66.542,270.924
20,bert,38804,1652918458,c004,12,1,c004-12-1,FALSE,39.247045,187.394142,1,8.448017,105.3782021,0.380865333,0.24265794,242.65794,0.232645716,8.676224428,1501.597595,1530,690,1530,877,877,877,877,67.50022946,67,49,83,160.7307168,167.054,66.009,301.458
2,bert,38803,1652918458,c004,12,0,c004-12-0,FALSE,39.267693,187.394215,1,3.011784,105.3782021,0.380901944,0.241819529,241.819529,0.211350835,8.678496255,1504.462375,1530,1312,1530,877,877,877,877,52.89442682,53,42,63,151.2317381,130.21,65.031,279.797
12,bert,38806,1652918458,c004,12,3,c004-12-3,FALSE,39.268005,187.395357,1,8.453727,105.3782021,0.380718773,0.241916017,241.916017,0.233503651,8.684457118,1511.508411,1530,1312,1530,877,877,877,877,57.39351852,57,45,67,158.7078375,170.388,67.476,279.982
1,bert,38805,1652918458,c004,12,2,c004-12-2,FALSE,39.247947,187.397266,1,8.459444,105.3782021,0.380693284,0.241740247,241.740247,0.227337086,8.681009381,1509.044734,1530,1312,1530,877,877,877,877,52.56732994,53,43,60,151.5716594,130.381,66.052,269.419
5,bert,41290,1652919478,c004,12,2,c004-12-2,FALSE,38.991041,175.572549,2,10.362093,93.78541758,0.323657519,0.247268677,247.268677,0.235416167,7.709817198,1496.709804,1530,1312,1530,877,877,877,877,53.4602245,54,44,60,154.097448,147.864,66.542,273.482
14,bert,41289,1652919478,c004,12,1,c004-12-1,FALSE,38.983185,175.572215,1,7.493671,93.78541758,0.307208939,0.247200184,247.200184,0.237218789,7.706045439,1476.231913,1530,712,1530,877,877,877,877,69.37698413,70,50,83,163.560442,181.1185,66.498,299.031
17,bert,41291,1652919478,c004,12,3,c004-12-3,FALSE,38.999809,175.577056,2,10.574227,93.78541758,0.32349942,0.247288371,247.288371,0.238310195,7.705787435,1496.234146,1530,1312,1530,877,877,877,877,58.28176528,59,46,68,159.9725403,185.562,68.009,279.982
3,bert,41288,1652919478,c004,12,0,c004-12-0,FALSE,38.999306,175.572235,1,5.879771,93.78541758,0.323708471,0.247254221,247.254221,0.211107953,7.693560694,1513.210375,1530,1312,1530,877,877,877,877,54.29558541,55,43,63,155.0266401,144.258,65.52,280.769
