exp,job_id,ts,cabinet,node,cab-node,uuid,device,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,median_memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
resnet,160973,1646132925,c008,11,c008-11,c008-11-2,2,11.144788,226.171433,2751,74553.47547,205.295852,249.5541025,139.9149559,97.4951759,3494.149245,1440.779184,1522,671,1530,877,877,877,877,72.96451086,74,46,84,160.5776494,132.771,66.621,305.262
resnet,11535,1646070104,c004,12,c004-12,c004-12-1,1,5.909171,211.645453,2082,75611.91406,195.875405,235.8368324,139.6828108,95.67242861,3724.530965,1504.470179,1530,690,1530,877,877,877,877,62.67801242,62,40,82,177.9613672,157.904,64.542,320.115
resnet,85125,1646010285,c003,6,c003-6,c003-6-2,2,9.934645,252.710419,2594,98652.58532,233.059391,276.9752361,139.5087382,96.44338861,4041.268798,1511.782088,1530,1312,1530,877,877,877,877,52.53549319,53,28,68,156.4265446,95.469,65.197,306.717
resnet,89022,1646005742,c005,10,c005-10,c005-10-0,0,5.748759,218.488074,2,8.874251,203.352354,231.5561796,139.2111667,96.8272239,6402.8937,1508.056,1530,1312,1530,877,877,877,877,49.90237591,51,34,59,160.1110485,120.944,63.034,292.625
resnet,53527,1646128732,c002,3,c002-3,c002-3-3,3,9.383764,209.279671,1910,71679.21588,189.987793,219.9329191,139.2045915,96.3036716,3244.891569,1502.70948,1522,1312,1530,877,877,877,877,54.85652396,57,33,63,183.6544302,170.256,66.052,320.39
resnet,145895,1646125240,c008,8,c008-8,c008-8-1,1,6.87712,199.778687,3281,67657.84048,181.529358,202.0899498,138.3304685,96.42722295,4336.354844,1418.388505,1500,435,1530,877,877,877,877,71.80302613,75,40,85,164.560016,138.714,60.343,306.312
resnet,61105,1646006315,c007,7,c007-7,c007-7-2,2,11.216213,216.827568,2423,68478.27167,195.559685,226.7814281,138.1548047,96.03106976,3137.625493,1511.833333,1530,1312,1530,877,877,877,877,49.17192896,50,33,56,165.489109,140.01,62.586,293.497
resnet,85126,1646010285,c003,6,c003-6,c003-6-3,3,9.934465,252.749383,2222,101713.6391,233.059391,282.3544425,138.1453527,95.38438544,4039.571395,1512.576987,1530,1312,1530,877,877,877,877,48.0906457,49,30,56,156.4554677,94.98,65.197,301.778
resnet,61106,1646006315,c007,7,c007-7,c007-7-3,3,11.216612,216.879967,0,0,195.559685,232.5539574,137.7860978,96.17893398,3164.18536,1510.951965,1530,1312,1530,877,877,877,877,57.10220392,59,37,66,174.2486164,146.4,65.031,308.66
resnet,67789,1646022576,c007,12,c007-12,c007-12-3,3,14.330537,214.209153,0,0,189.569,220.994284,137.3874836,95.88020993,4930.373146,1395.922058,1447,510,1530,877,877,877,877,75.34210526,78,49,85,159.8338843,126.8475,62.423,313.315
resnet,61103,1646006315,c007,7,c007-7,c007-7-0,0,11.218063,216.851422,0,0,195.559685,231.1258604,137.1289641,96.03670239,4040.815033,1515.285363,1530,1312,1530,877,877,877,877,48.65177914,50,32,56,167.5377767,138.592,62.586,300.377
resnet,145894,1646125240,c008,8,c008-8,c008-8-0,0,6.896656,199.764422,2705,70474.74383,181.529358,197.5312276,136.755778,96.34801594,3526.668905,1504.900687,1530,1312,1530,877,877,877,877,52.96970524,55,35,62,175.368366,141.8395,70.579,309.347
resnet,113657,1646128804,c008,9,c008-9,c008-9-3,3,15.214012,211.026349,2675,73069.16484,186.39049,219.81631,136.3379257,97.02301398,3841.865991,1517.053285,1530,1312,1530,877,877,877,877,51.10496957,52,36,60,171.0165591,158.8095,66.132,298.667
resnet,23124,1646127457,c004,10,c004-10,c004-10-0,0,14.849263,212.957654,0,0,187.0924,221.6162966,136.3230087,95.8038792,3504.048027,1507.435871,1530,1312,1530,877,877,877,877,48.34352109,50,31,56,173.978687,158.566,63.523,311.314
resnet,4519,1646125229,c006,12,c006-12,c006-12-0,0,4.789367,208.095451,0,0,194.097996,222.9869003,135.720212,96.84721901,3674.166485,1515.251374,1530,1312,1530,877,877,877,877,59.74793905,61,40,69,175.977385,150.594,64.584,306.393
resnet,18727,1646125291,c002,1,c002-1,c002-1-0,0,11.181727,218.302514,2217,60849.90712,198.230574,239.8920544,135.443322,96.83079296,3568.537864,1511.537234,1530,1312,1530,877,877,877,877,45.32422631,46,29,53,157.595183,124.6425,59.653,291.172
resnet,67788,1646022576,c007,12,c007-12,c007-12-2,2,14.310409,214.166352,0,0,189.569,227.8779757,134.9051218,96.12268675,4965.134567,1516.078669,1530,1312,1530,877,877,877,877,61.30744655,63,43,70,169.127813,128.359,65.116,306.432
resnet,4521,1646125229,c006,12,c006-12,c006-12-2,2,4.797367,208.09618,0,0,194.097996,227.0892589,134.7876045,96.29888801,3220.287277,1503.980645,1522,1312,1530,877,877,877,877,57.93844626,59,39,66,179.157861,153.77,66.542,323.516
resnet,33363,1646118733,c002,11,c002-11,c002-11-1,1,7.8594,217.970109,0,0,200.085781,237.5417829,134.7417454,95.73873412,3475.488205,1486.380336,1530,671,1530,877,877,877,877,65.19228003,67,39,76,171.9618981,142.431,66.089,306.11
resnet,23126,1646127457,c004,10,c004-10,c004-10-2,2,14.829627,212.893616,0,0,187.0924,216.3432439,134.563949,96.79314494,3453.177802,1510.769929,1530,1312,1530,877,877,877,877,47.46297217,49,31,55,170.5111146,145.376,62.586,305.341
resnet,60251,1646071189,c004,1,c004-1,c004-1-1,1,13.073608,207.922086,0,0,185.41752,218.3591977,134.5536455,96.41184472,5278.863549,1479.09152,1530,648,1530,877,877,877,877,67.39114863,71,34,81,181.0831571,179.603,66.577,311.714
resnet,68239,1646128503,c008,3,c008-3,c008-3-0,0,14.931046,237.867029,0,0,213.125629,265.1307381,134.44106,96.01275716,3365.583947,1510.917753,1530,1312,1530,877,877,877,877,41.10789474,42,26,48,152.4134276,92.232,62.057,291.271
resnet,33364,1646118733,c002,11,c002-11,c002-11-2,2,7.838927,217.955443,0,0,200.085781,232.5072586,134.4401175,96.45518474,3411.135611,1510.577458,1530,1312,1530,877,877,877,877,48.78776978,50,34,54,164.825376,130.2165,65.686,300.697
resnet,7541,1646126418,c006,12,c006-12,c006-12-3,3,4.765919,212.946193,0,0,197.686053,232.8825391,134.074377,95.62747899,3291.275119,1507.682617,1522,1312,1530,877,877,877,877,63.59106445,66,42,73,180.0705903,148.84,66.009,317.268
