exp,input_size,reps,uuid,cabinet,node,ts,kern,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr,dev_id
sgemm,25536,100,GPU-af202466-973a-7726-b52f-49e3eac8b76d,c004,8,1593145492,volta_sgemm_128x32_sliced1x4_nn,290.059998,534.125775,100,2465.636888,1350,877,67,297.364,0
sgemm,25536,100,GPU-01f6142b-9612-2893-b2dd-b7a52e31a9b6,c005,10,1593412882,volta_sgemm_128x32_sliced1x4_nn,293.454494,552.834037,100,2621.54898,1312,877,81,294.079,0
sgemm,25536,100,GPU-d81f661a-c117-c5a3-fc5e-0ef6cca17875,c002,9,1593505382,volta_sgemm_128x32_sliced1x4_nn,290.190301,531.934734,100,2441.974571,1365,877,58,297.985,0
sgemm,25536,100,GPU-49cb49c6-15d7-e173-6b36-3a169a7c9cce,c006,2,1593329923,volta_sgemm_128x32_sliced1x4_nn,291.115419,532.539943,100,2438.879092,1357,877,64,297.758,0
sgemm,25536,100,GPU-4b03962c-bc72-b46f-af88-77504b01f0fc,c003,2,1593331593,volta_sgemm_128x32_sliced1x4_nn,291.237125,528.644843,100,2398.328939,1387,877,63,297.211,0
sgemm,25536,100,GPU-ae13d3c0-4338-b02e-4949-57d6fa4535af,c005,11,1593357089,volta_sgemm_128x32_sliced1x4_nn,290.484608,528.453009,100,2403.895867,1387,877,63,297.47,0
sgemm,25536,100,GPU-0c1df2d8-7927-febb-2054-56234608b61e,c004,6,1593410057,volta_sgemm_128x32_sliced1x4_nn,290.366454,533.879918,100,2459.864306,1350,877,63,297.863,0
sgemm,25536,100,GPU-a8acaa63-8e86-852f-ca71-23e922e44e27,c009,8,1593340163,volta_sgemm_128x32_sliced1x4_nn,290.896092,535.623399,100,2472.294276,1342,877,64,296.893,0
sgemm,25536,100,GPU-988aa98d-4699-3f53-b25b-808dc2294ca1,c004,9,1591813251,volta_sgemm_128x32_sliced1x4_nn,290.467892,536.021404,100,2480.467918,1335,877,60,297.667,0
sgemm,25536,100,GPU-221ae764-7220-f895-7391-dacf56e98fa6,c003,6,1593127747,volta_sgemm_128x32_sliced1x4_nn,307.50828,549.300283,100,2442.80948,1357,877,71,295.849,0
sgemm,25536,100,GPU-b3fc3d38-01eb-05b0-aae0-8745654d3761,c005,6,1593355420,volta_sgemm_128x32_sliced1x4_nn,290.147682,535.36197,100,2477.282041,1335,877,72,296.697,0
sgemm,25536,100,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,9,1593464504,volta_sgemm_128x32_sliced1x4_nn,290.349027,531.45485,100,2435.445286,1365,877,53,297.182,0
sgemm,25536,100,GPU-5bef6edb-1abb-8f9c-b381-8025163b6743,c009,11,1593467861,volta_sgemm_128x32_sliced1x4_nn,290.084834,529.371684,100,2417.200571,1372,877,59,297.47,0
