,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
129,resnet,0,c199,32,1,192.339242,0.140746644,0.13341541,11.1222499,0.125210015,GPU-fbf31e80-3a2a-d9d7-b35c-ac2c3d01e527
130,resnet,0,c199,32,2,192.339242,0.139493031,0.133791635,10.99366356,0.126169983,GPU-a075f73c-0500-a59d-c3aa-f81a8f646866
131,resnet,0,c199,32,3,192.339242,0.14450637,0.137278543,11.0256916,0.126149545,GPU-9bd67376-b2fd-3b6a-b99e-a3b0fea3bf71
132,resnet,4,c196,42,0,186.390591,0.135417989,0.133612791,7.367975036,0.128860686,GPU-76b58ef4-9322-a869-13c5-fdebd7f266c5
133,resnet,4,c196,42,1,186.390591,0.135461519,0.134796841,7.518062063,0.12843664,GPU-73ea3093-4f70-104d-ac0c-53398037296b
134,resnet,4,c196,42,2,186.390591,0.137887417,0.136434697,7.469693756,0.129182459,GPU-1769e88d-4e21-c6fa-e5d2-bf0c2d55e5df
135,resnet,4,c196,42,3,186.390591,0.136411112,0.135219023,7.377989053,0.129105401,GPU-c8d2f290-bf0b-38a3-7a49-071453c4f99b
136,resnet,4,c198,31,0,186.236548,0.137910781,0.136317466,7.48985582,0.129195446,GPU-6194ad26-be16-ef55-8bee-fc9b89e5fa1b
137,resnet,4,c198,31,1,186.236548,0.135711395,0.13400242,7.66480317,0.127532794,GPU-b943fa68-5f2b-ac2c-ee4f-e01a2587c433
138,resnet,4,c198,31,2,186.236548,0.13733832,0.136005669,7.352632023,0.128489457,GPU-6c0e2422-aca2-235c-1470-aad46cb02148
139,resnet,4,c198,31,3,186.236548,0.135302115,0.133165172,7.650908638,0.127682674,GPU-c5d53d15-34ea-e208-1363-ee1d7e1ce5aa
140,resnet,0,c198,112,0,206.683452,0.139320819,0.138272946,19.13267336,0.125498082,GPU-8890af4d-ee12-7552-a271-e1e37dafd59d
141,resnet,0,c198,112,1,206.683452,0.152419698,0.135583945,19.38749647,0.124852151,GPU-eef1e8ed-89b3-346d-490c-73acc1abb571
142,resnet,0,c198,112,2,206.683452,0.151926446,0.138327515,19.27734058,0.126410793,GPU-edd8c8cf-6e3a-6e89-44f8-ab74d5ed8dcc
143,resnet,0,c198,112,3,206.683452,0.151308978,0.13489899,19.44262242,0.124637613,GPU-43cf53c1-d58c-dcf9-2447-28b265473b00
144,resnet,1,c197,32,0,186.758433,0.136906214,0.134954451,7.621142649,0.12713987,GPU-aece59c8-5cdd-88ae-f4af-343bbd7039c6
145,resnet,1,c197,32,1,186.758433,0.137443009,0.135455317,7.208145985,0.126720506,GPU-a6019a64-6c55-7009-522f-75c009fcc35b
146,resnet,1,c197,32,2,186.758433,0.138113082,0.136651063,7.362319723,0.128132204,GPU-ce23372d-9b91-fa22-4b6a-efdf50dc605f
147,resnet,1,c197,32,3,186.758433,0.135561709,0.133938091,7.744814414,0.125205682,GPU-084d924d-e1ef-c343-8b49-5c9fd4d1471e
148,resnet,2,c196,111,0,185.955088,0.136145156,0.134459143,7.490894941,0.128854865,GPU-ed649eb4-e3a2-d251-d3d7-0c1cd9c53e67
149,resnet,2,c196,111,1,185.955088,0.13729952,0.135358087,7.677570581,0.129594993,GPU-b84e9160-a738-1255-fcdd-6d461313945d
150,resnet,2,c196,111,2,185.955088,0.136552603,0.135028014,7.593467583,0.129303497,GPU-98329a94-3d69-3633-1464-caaa5d7eb597
151,resnet,2,c196,111,3,185.955088,0.135669892,0.134293884,7.762831125,0.127824429,GPU-281d233d-28c7-f5dd-f4c1-48837c021bb4
152,resnet,0,c198,71,0,216.123597,0.156136941,0.138520257,25.26873785,0.126677839,GPU-e766b213-7de5-c977-45b0-deecb351612a
153,resnet,0,c198,71,1,216.123597,0.156911997,0.136163088,25.40040062,0.126672571,GPU-e8f7ef46-1905-975f-7b59-c4413d78194b
154,resnet,0,c198,71,2,216.123597,0.140567577,0.136152119,25.23894679,0.126428574,GPU-95ae48ac-4588-2d14-c275-a917d4c19910
155,resnet,0,c198,71,3,216.123597,0.156539083,0.136562295,25.24338845,0.127523818,GPU-f33f0390-bd96-6b4f-4b71-2c83e9051d8d
156,resnet,3,c198,32,0,212.572062,0.150373865,0.150465612,7.677598302,0.128798599,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132
157,resnet,3,c198,32,1,212.572062,0.151764139,0.15156607,7.822906351,0.12982151,GPU-6b5cf8f8-6b14-6d6e-7188-62a49ef73d49
158,resnet,3,c198,32,2,212.572062,0.151380088,0.151105385,7.574263781,0.129785403,GPU-5f8e0d0a-46bb-ab00-d3a4-9ab6b4f42b20
159,resnet,3,c198,32,3,212.572062,0.152973576,0.15230349,7.794449017,0.131229477,GPU-43623410-8a47-f44a-5978-f99f91714d4a
160,resnet,1,c199,62,0,186.378273,0.136105757,0.134715495,7.911219753,0.128620076,GPU-d9b2c0cc-1c52-9529-73e9-c564f3a98199
161,resnet,1,c199,62,1,186.378273,0.137967095,0.13691229,7.942141435,0.129787416,GPU-c41b5497-6287-2cdf-64c0-3dd6a936851a
162,resnet,1,c199,62,2,186.378273,0.135425666,0.133950496,7.774834206,0.128188553,GPU-ac0ae492-caa6-f1b7-7df4-b355b8117482
163,resnet,1,c199,62,3,186.378273,0.137149138,0.135679309,7.812784596,0.129532901,GPU-27a9d007-e385-5a7a-3933-8818ddfedd56
164,resnet,0,c197,21,0,352.812055,0.347706716,0.133557253,10.9973069,0.12491062,GPU-17dc4701-59b1-f773-ca6d-5991156e00a9
165,resnet,0,c197,21,1,352.812055,0.393005343,0.133521157,10.60672966,0.124810312,GPU-cf3ab66c-6bfd-d46b-d29d-f458613b2722
166,resnet,0,c197,21,2,352.812055,0.293136365,0.13542111,10.98374399,0.126160832,GPU-d65b1686-64d7-2cdf-908d-e681c39034e0
167,resnet,0,c197,21,3,352.812055,0.422536731,0.138605801,11.10136534,0.124762806,GPU-8524668e-94b0-2304-7d7c-773c0b566e35
168,resnet,3,c196,71,0,189.70306,0.137925345,0.136520807,7.611318534,0.13018665,GPU-ff79558e-5b2e-0218-ddd1-4026a868279c
169,resnet,3,c196,71,1,189.70306,0.136236563,0.135074947,7.419614638,0.129259662,GPU-eea21d9b-86da-4f67-a5ec-953136260696
170,resnet,3,c196,71,2,189.70306,0.137685672,0.136326859,7.451337422,0.129197095,GPU-a443a153-8c68-a285-e46b-32247ba74fb8
171,resnet,3,c196,71,3,189.70306,0.136449018,0.134873826,7.943180928,0.130040401,GPU-5630a182-4df4-d329-d517-411ea9194b0f
172,resnet,3,c198,42,0,185.906761,0.137638523,0.136070737,7.586343867,0.12892081,GPU-8b39353e-133c-96d0-7b5f-4195d9c60bae
173,resnet,3,c198,42,1,185.906761,0.136711212,0.135586593,7.530081821,0.129422758,GPU-d92be4b5-48ba-f741-8241-215938d18ad8
174,resnet,3,c198,42,2,185.906761,0.136408532,0.134987846,7.382700166,0.129901347,GPU-24aa1dec-32fe-add8-751e-4ad886e42cd7
175,resnet,3,c198,42,3,185.906761,0.137310329,0.135500976,7.530000753,0.128965388,GPU-d6a67224-5da4-cd28-eae8-0728f598bfbc
176,resnet,2,c199,52,0,186.322681,0.136816359,0.135185651,7.320441407,0.128110741,GPU-9cfd3bc9-ec4c-cce3-8d2a-f00dadc39c15
177,resnet,2,c199,52,1,186.322681,0.136590222,0.135257797,7.371838458,0.12848821,GPU-c02a58d6-397f-fa2d-9d52-e21f20e5f877
178,resnet,2,c199,52,2,186.322681,0.137691341,0.135994346,7.316626927,0.130150663,GPU-a4c2be25-e61d-74a8-cbf6-39af358d6243
179,resnet,2,c199,52,3,186.322681,0.137853579,0.136196583,7.420981314,0.128958673,GPU-4abb0df7-9692-f3c1-38eb-b3a43005a412
180,resnet,2,c197,101,0,186.164172,0.137503838,0.135856175,7.259921364,0.129813175,GPU-be442cc8-e87b-3a0e-feec-2950f955c165
181,resnet,2,c197,101,1,186.164172,0.136030233,0.134328482,7.45412329,0.128415124,GPU-690d7372-0ac5-c58c-9691-e5a9c5428eea
182,resnet,2,c197,101,2,186.164172,0.135250316,0.133049971,7.336995874,0.128545,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
