cabinet,device,model,node,perf_avg,perf,run,uuid
c199,3,pagerank,12,1292753.502,2588092512,0,GPU-395c16d1-f21b-a32f-775d-55f987207a84
c198,0,pagerank,102,1291693.682,2585970752,4,GPU-636afae8-ff9a-ed5b-bfad-61cf034069d0
c199,2,pagerank,32,1289832.999,2582245664,3,GPU-a075f73c-0500-a59d-c3aa-f81a8f646866
c197,1,pagerank,92,1290896.032,2584373856,1,GPU-dbe11990-1ffe-bf6e-1bcd-597305863b32
c197,3,pagerank,81,1292378.581,2587341920,1,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
c196,1,pagerank,71,1292342.873,2587270432,1,GPU-eea21d9b-86da-4f67-a5ec-953136260696
c196,2,pagerank,71,1292233.207,2587050880,1,GPU-a443a153-8c68-a285-e46b-32247ba74fb8
c197,2,pagerank,101,1292868.731,2588323200,0,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
c197,1,pagerank,101,1289698.925,2581977248,4,GPU-690d7372-0ac5-c58c-9691-e5a9c5428eea
c199,0,pagerank,41,1292490.565,2587566112,3,GPU-38fb88f3-6d40-fa84-e966-b9e167d489f2
c198,3,pagerank,72,1292659.485,2587904288,4,GPU-c8089ebe-0415-e477-691d-52275e6d64a5
c199,0,pagerank,112,1292453.642,2587492192,4,GPU-ea4533fa-dec6-97d8-8fb3-e7762dd149d5
c196,3,pagerank,51,1292300.819,2587186240,2,GPU-860904c1-f889-b0fe-8aaf-46b473179477
c197,3,pagerank,102,1292476.739,2587538432,2,GPU-3160ab0e-c3f4-2977-7e86-1c1b335963e8
c196,2,pagerank,41,1291596.228,2585775648,3,GPU-98b6b9d5-d461-aaa4-a908-37cbd8c26331
c199,0,pagerank,51,1293112.599,2588811424,3,GPU-22307102-b01c-f796-80aa-d85d42354fe0
c197,2,pagerank,31,1292351.568,2587287840,1,GPU-b47e4552-d7fc-14f6-b97b-bdc63b5c4b54
c197,3,pagerank,81,1291693.698,2585970784,4,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
c198,0,pagerank,41,1291267.149,2585116832,3,GPU-af0701a0-ee55-62f4-1e37-f07b74cd0924
