,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
139,bert,3,c198,41,3,0,0.177595712,0.177402453,3.352361279,0.174813312,GPU-a03d715d-4024-81ef-a370-dc9d02d1a27b
140,bert,0,c199,72,0,0,0.178656185,0.17867781,11.68816488,0.176091816,GPU-b4bfcb5d-f7bb-0d5a-8e0f-5faaad3a4266
141,bert,0,c199,72,1,0,0.178000315,0.178110395,11.68189308,0.174809171,GPU-6c19723f-afac-9c38-aa6d-86a72934cd77
142,bert,0,c199,72,2,0,0.178800684,0.178841877,11.68671889,0.174938978,GPU-bc082ea2-b008-30a1-e1e7-8edf844b8dc7
143,bert,0,c199,72,3,0,0.178368053,0.178340505,11.68211038,0.175435519,GPU-b54154a6-32cb-1de0-9f49-11a273dba29a
144,bert,5,c197,51,0,0,0.179189997,0.179116099,3.26116526,0.176594555,GPU-e4d78173-285e-8e36-babb-063221493550
145,bert,5,c197,51,1,0,0.178373767,0.178366901,3.274083606,0.175621551,GPU-e7140764-128a-08f8-06d2-19d316b4c5e9
146,bert,5,c197,51,2,0,0.178323972,0.178346873,3.25000884,0.172382045,GPU-8781868c-f755-7017-4263-ef3e2113b959
147,bert,5,c197,51,3,0,0.177939164,0.177979388,3.270596821,0.174763063,GPU-7d54391f-8197-2f8f-759c-bf8e22af7edd
148,bert,0,c198,31,0,0,0.178436954,0.178457955,4.465182419,0.175852501,GPU-6194ad26-be16-ef55-8bee-fc9b89e5fa1b
149,bert,0,c198,31,1,0,0.178427455,0.178488311,4.478396662,0.174908385,GPU-b943fa68-5f2b-ac2c-ee4f-e01a2587c433
150,bert,0,c198,31,2,0,0.178144441,0.178162212,4.447084499,0.175364848,GPU-6c0e2422-aca2-235c-1470-aad46cb02148
151,bert,0,c198,31,3,0,0.177661486,0.177683031,4.538352948,0.173761329,GPU-c5d53d15-34ea-e208-1363-ee1d7e1ce5aa
152,bert,3,c197,12,0,0,0.178621212,0.178589187,3.287644378,0.175697279,GPU-f3d748fb-ef4e-b1f9-b8cc-9b62b4e2378f
153,bert,3,c197,12,1,0,0.17905188,0.178985939,3.278121982,0.174341404,GPU-cc6dcb89-d634-cd94-5550-73efe43f27ac
154,bert,3,c197,12,2,0,0.178206796,0.178138704,3.285970488,0.172537287,GPU-7ceef91a-0a0f-ed52-35a7-ae98a94b40f4
155,bert,3,c197,12,3,0,0.178249311,0.178176714,3.27825981,0.17545128,GPU-5c564804-8e62-4fae-45a7-054f047fc695
156,bert,5,c199,51,0,0,0.179179988,0.179105211,3.364183465,0.174646941,GPU-22307102-b01c-f796-80aa-d85d42354fe0
157,bert,5,c199,51,1,0,0.178611814,0.178657169,3.36551086,0.175712175,GPU-acb8a3f7-fa5a-5a5c-2c9f-c4d60460e49b
158,bert,5,c199,51,2,0,0.178305079,0.178261254,3.354204666,0.175355194,GPU-864b73c8-4d03-258b-61d0-abf4353ce679
159,bert,5,c199,51,3,0,0.178842621,0.178782086,3.333182141,0.176090325,GPU-e0e5231e-df3e-80a2-81b0-0df205205d90
160,bert,4,c197,91,0,0,0.179784801,0.179665004,3.352424776,0.174382853,GPU-c00318b5-9bf9-dfd7-3c9a-85765db079fb
161,bert,4,c197,91,1,0,0.178973989,0.178933318,3.383264372,0.175989498,GPU-4d356905-c8dd-d905-7c33-7adac619f5a7
162,bert,4,c197,91,2,0,0.179670533,0.179606296,3.38223403,0.176852039,GPU-9d1494f3-7b1d-4a90-f7df-4e991dfdc586
163,bert,4,c197,91,3,0,0.178235971,0.178241828,3.379799431,0.17516246,GPU-0c3f0f5d-d0cb-9cf2-1bae-4fc3257685c1
164,bert,5,c196,81,0,0,0.179373725,0.17939627,3.413599665,0.175941055,GPU-4a7fcad6-5b33-648a-6e2c-1c7afd9c11a3
165,bert,5,c196,81,1,0,0.179274913,0.1792856,3.369311163,0.177128751,GPU-083e86ad-9523-13e1-8720-c72eabe3c04f
166,bert,5,c196,81,2,0,0.179398375,0.179338456,3.372324863,0.176752242,GPU-5715a1b6-b714-699e-ff9f-8e19c697db05
167,bert,5,c196,81,3,0,0.177424236,0.177296316,3.418027355,0.175208489,GPU-30d237b5-8bd4-c8ab-9cf6-7bea29ed7d88
168,bert,5,c198,21,0,0,0.18904861,0.189058314,3.307560915,0.182430439,GPU-0f4b2b1e-8297-a5c6-d9f9-1c2635c4cc92
169,bert,5,c198,21,1,0,0.189428268,0.189225386,3.345888361,0.17844232,GPU-5586ec8e-9972-13cd-a4c1-dda2ad989dfc
170,bert,5,c198,21,2,0,0.188205095,0.188127043,3.273136978,0.181463362,GPU-22cb1830-11a6-1772-8d18-2b27cd236c8f
171,bert,5,c198,21,3,0,0.188671974,0.188770383,3.343681816,0.182335232,GPU-57961912-db52-59c7-9368-928374594f69
172,bert,0,c197,61,0,0,0.179215512,0.179223124,11.13586227,0.176454358,GPU-ee8d6575-04ef-d96a-7049-9a792b589fd4
173,bert,0,c197,61,1,0,0.178600332,0.178649029,11.13736067,0.174959741,GPU-e3882ba0-d81b-7e06-0f61-e6b6899673ca
174,bert,0,c197,61,2,0,0.179001799,0.178959809,11.1524001,0.175401686,GPU-01b31d42-2339-500c-e226-c152144e6af3
175,bert,0,c197,61,3,0,0.178453626,0.178485322,11.15122272,0.174766568,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
