exp,cabinet,node,device,uuid,mean_iter_dur_mean,perf,train_time_mean,train_time_median,norm_perf
resnet,c316,16,2,c316-16-2,0.025176991,0.025111489,26.07035633,26.2073525,0.993339207
resnet,c317,1,0,c317-1-0,0.026226259,0.026205949,26.771766,26.70122,1.036632937
resnet,c317,1,1,c317-1-1,0.025440228,0.025434865,26.14475917,26.1137485,1.006131043
resnet,c317,1,2,c317-1-2,0.024899765,0.025075641,25.343952,25.329082,0.991921162
resnet,c317,2,0,c317-2-0,0.025413805,0.025117533,28.21086867,26.1904055,0.993578291
resnet,c317,2,1,c317-2-1,0.025809194,0.02601306,26.12125167,26.190147,1.029002796
resnet,c317,2,2,c317-2-2,0.025428569,0.025498534,25.90439717,25.934478,1.008649608
resnet,c317,3,0,c317-3-0,0.026128944,0.026460706,27.141611,27.217053,1.046710401
resnet,c317,3,1,c317-3-1,0.025489957,0.025704927,25.975057,26.0170475,1.016813929
resnet,c317,3,2,c317-3-2,0.02536422,0.025200511,26.019632,25.958166,0.996860665
resnet,c317,4,0,c317-4-0,0.025381871,0.025328284,26.85403483,26.7042745,1.001915002
resnet,c317,4,1,c317-4-1,0.025547121,0.025531656,26.19218683,25.9940405,1.009959821
resnet,c317,4,2,c317-4-2,0.024916577,0.024823248,26.0379185,26.000428,0.981937211
resnet,c317,5,0,c317-5-0,0.025544422,0.025502719,26.98514317,26.7804165,1.008815155
resnet,c317,5,1,c317-5-1,0.025573307,0.025543813,26.51990733,26.54516,1.010440717
resnet,c317,5,2,c317-5-2,0.024891483,0.02493981,26.11227917,25.916466,0.986548073
resnet,c317,6,0,c317-6-0,0.02516816,0.025030745,26.74605633,26.6437115,0.990145204
resnet,c317,6,1,c317-6-1,0.025039855,0.024766885,25.87189867,25.8587535,0.979707651
resnet,c317,6,2,c317-6-2,0.025162172,0.025229303,25.857125,25.7835485,0.997999594
resnet,c317,7,0,c317-7-0,0.025848665,0.02591111,26.93612067,26.977249,1.024969943
resnet,c317,7,1,c317-7-1,0.025828447,0.025659211,26.13164167,26.153531,1.015005534
resnet,c317,7,2,c317-7-2,0.025646569,0.025544451,25.93701283,25.9679595,1.010465954
resnet,c317,8,0,c317-8-0,0.02514529,0.025411199,26.887509,26.867833,1.005194884
resnet,c317,8,1,c317-8-1,0.025580249,0.025606978,26.53767433,26.651239,1.012939345
resnet,c317,8,2,c317-8-2,0.025401174,0.025633229,26.34872417,26.3634405,1.01397776
resnet,c317,9,0,c317-9-0,0.025184549,0.024901815,26.08760483,25.705529,0.985045099
resnet,c317,9,1,c317-9-1,0.024948311,0.025279873,25.41498633,25.497626,1
resnet,c317,9,2,c317-9-2,0.024935207,0.024806004,25.27366183,25.12028,0.981255088
resnet,c317,10,0,c317-10-0,0.02568934,0.025706595,27.1568355,27.006619,1.016879911
resnet,c317,10,1,c317-10-1,0.024266646,0.024225542,25.96321233,26.018111,0.958293659
resnet,c317,10,2,c317-10-2,0.02503802,0.025005292,26.34165167,26.5257995,0.989138355
resnet,c317,11,0,c317-11-0,0.025538071,0.025512259,27.03722567,27.0459165,1.00919253
resnet,c317,11,1,c317-11-1,0.024926189,0.025060126,26.2912375,26.20225,0.991307433
resnet,c317,11,2,c317-11-2,0.025301105,0.025063067,25.92062467,25.8740785,0.99142377
resnet,c317,12,0,c317-12-0,0.054656308,0.054555996,55.4351825,55.396521,2.158080304
resnet,c317,12,1,c317-12-1,0.054647969,0.054663602,54.192391,54.207511,2.162336891
resnet,c317,12,2,c317-12-2,0.054425402,0.054765371,54.18644417,54.6223195,2.166362584
resnet,c317,13,0,c317-13-0,0.025062906,0.02506913,26.63144033,26.4032515,0.991663605
resnet,c317,13,1,c317-13-1,0.025090669,0.025025641,26.29145383,26.210363,0.989943304
resnet,c317,13,2,c317-13-2,0.024904631,0.02463306,26.215448,26.134904,0.974413914
resnet,c317,14,0,c317-14-0,0.025601117,0.025739804,27.1803965,27.1766155,1.018193565
resnet,c317,14,1,c317-14-1,0.025391299,0.025347303,26.42944183,26.5578155,1.002667339
resnet,c317,14,2,c317-14-2,0.025018028,0.024695249,26.33680433,26.2835095,0.976873934
resnet,c317,15,0,c317-15-0,0.025207469,0.025128375,26.93287667,26.890602,0.994007169
resnet,c317,15,1,c317-15-1,0.025541508,0.0255184,26.18082,26.011891,1.009435451
resnet,c317,15,2,c317-15-2,0.024937532,0.024756258,25.98000817,25.8431975,0.979287277
resnet,c317,16,0,c317-16-0,0.025252698,0.024958259,26.4489685,26.256858,0.987277863
resnet,c317,16,1,c317-16-1,0.02527862,0.025159479,25.90257583,25.986421,0.995237555
resnet,c317,16,2,c317-16-2,0.025724028,0.02567722,25.90530617,25.903957,1.015717919
